2025-06-09 14:12:09.1478 INFO 1024505498-01;Mercy Medical Center;Mercy Medical Center;0.9;high 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Medical Center Mt Shasta;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Medical Center Cambodia;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Medical Center Pharmacy;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Medical Center;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Hospital & Medical Center;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Hospital;0.5; 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy;0.9;high 
2025-06-09 14:12:09.1838 INFO 1024505498-01;Mercy Medical Center;Mercy Regional Medical Center;0.5; 
2025-06-09 14:12:10.3652 INFO 1047504908-04;Emmes Company;Emmes;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;EIMS;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;EMMES Group of Companies;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;EMS;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;EMSS;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;Emmaus;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;Emmeskay;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;Emmaus;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;EEMS,LLC;0.5; 
2025-06-09 14:12:10.3672 INFO 1047504908-04;Emmes Company;Emma’s;0.5; 
2025-06-09 14:12:13.1413 INFO 1022502857-03;Catalent Pharma Solutions LLC;Catalent;0.9;high 
2025-06-09 14:12:13.8916 INFO 1017500740-02;Vertex Aerospace LLC;Vertex Aerospace;0.9;high 
2025-06-09 14:12:16.7556 INFO 1030492957-01;Balance Point Wellness;Balance Point Wellness;0.5; 
2025-06-09 14:12:17.5263 INFO 1083504842-01;Southwest Airlines;Southwest Airlines;0.9;high 
2025-06-09 14:12:18.2147 INFO 1024493579-09;Breakthru Beverage;Ben Arnold-Sunbelt Beverage Company of South Carolina;0.9;high 
2025-06-09 14:12:18.8235 INFO 1024493579-08;Breakthru Beverage;Ben Arnold-Sunbelt Beverage Company of South Carolina;0.9;high 
2025-06-09 14:12:19.6090 INFO 1047504247-01;Department of State;Department of State;0.9;high 
2025-06-09 14:12:20.5279 INFO 1010502919-03;J.B. Hunt Transport,Inc.;J.B. Hunt Transport Services;0.9;high 
2025-06-09 14:12:22.5362 INFO 1083502149-03;Wegmans;Wegmans Food Markets;0.9;high 
2025-06-09 14:12:26.9209 INFO 1024497819-04;T. Rowe Price;T. Rowe Price Group;0.9;high 
2025-06-09 14:12:27.7215 INFO 1024497819-03;Valet Living LLC;Valet Living;0.9;high 
2025-06-09 14:12:28.6446 INFO 1024494304-02;Carter Machinery INC;Carter Machinery;0.9;high 
2025-06-09 14:12:29.2646 INFO 1018484937-02;Wal-Mart Associates, Inc;Walmart;0.9;high 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Industries;0.9;high 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Holdings;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Data Processing;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Transit;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland International Trucks;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Credit Union;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Energy Services;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Transportation;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southlands Christian Schools;0.5; 
2025-06-09 14:12:29.8240 INFO 1018472848-03;Southland;Southland Regional Association of REALTORS;0.5; 
2025-06-09 14:12:31.2131 INFO 1010487315-02;Imperial PFS;Imperial PFS;0.5; 
2025-06-09 14:12:39.5314 INFO 5101490784-04;NC State University;NC State University Club;0.5; 
2025-06-09 14:12:39.5314 INFO 5101490784-04;NC State University;North Carolina State University;0.9;high 
2025-06-09 14:12:40.3314 INFO 5101490784-03;North Carolina State University;North Carolina State University;0.9;high 
2025-06-09 14:12:42.2590 INFO 1017505033-01;Atlantic Shores Cooperative Association;Atlantic Shores;0.5; 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;UPS;0.9;high 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;UPS Store (Franchise);0.3;low 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;UPS Store (Corporate);0.5; 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;SUNY Upstate Medical University;0.0;unsupported 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Upstate Niagara Cooperative;0.5; 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Upstream Rehabilitation;0.9;high 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Upstate Cerebral Palsy;0.5; 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Upstart Network;0.9;high 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Upsher-Smith Laboratories;0.9;high 
2025-06-09 14:12:42.6998 INFO 7010501881-02;UPS;Up2Us Sports;0.5; 
2025-06-09 14:12:42.7108 INFO 7010501881-02;UPS;GetUpside;0.5; 
2025-06-09 14:12:43.6098 INFO 1083504220-02;Cruise Lines International Association;Cruise Lines International Association;0.5; 
2025-06-09 14:12:44.2455 INFO 1024502554-03;CVS Health;CVS Health;0.9;high 
2025-06-09 14:12:45.1869 INFO 1022502729-04;Maryland Environmental Service;Maryland Environmental Service;0.9;high 
2025-06-09 14:12:45.7140 INFO 1022502729-03;Maryland Environmental Service;Maryland Environmental Service;0.9;high 
2025-06-09 14:12:46.7045 INFO 1009504856-02;Jason Pharmaceuticals;Medifast;0.5; 
2025-06-09 14:12:49.1680 INFO 5012504946-01;Arch MI;Arch Millennium;0.5; 
2025-06-09 14:12:49.9229 INFO 1083505540-02;Department of the Navy;U.S. Navy;0.9;high 
2025-06-09 14:12:49.9229 INFO 1083505540-02;Department of the Navy;Department of the Navy Office of Civilian Human Resources (OCHR);0.5; 
2025-06-09 14:12:51.4953 INFO 1004501602-04;Keller Transportation Inc;Keller Transportation;0.5; 
2025-06-09 14:12:52.3419 INFO 1024505018-01;T. Rowe Price;T. Rowe Price Group;0.9;high 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;BandwidthX;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth Options;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth Team;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;BandwidthSolutions.com;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth Productions;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth Simplified;0.5; 
2025-06-09 14:12:52.6990 INFO 5101504898-01;Bandwidth Inc;Bandwidth Marketing;0.5; 
2025-06-09 14:12:52.7110 INFO 5101504898-01;Bandwidth Inc;Bandwidth Solutions;0.5; 
2025-06-09 14:12:53.9482 INFO 1083502474-01;Core4ce;Core4ce;0.5; 
2025-06-09 14:12:54.3379 INFO 7040504607-08;Tesla;Tesla;0.9;high 
2025-06-09 14:12:54.3379 INFO 7040504607-08;Tesla;TSLA;0.5; 
2025-06-09 14:12:54.3379 INFO 7040504607-08;Tesla;T3SL;0.5; 
2025-06-09 14:12:54.6816 INFO 7040504607-07;Tesla;Tesla;0.9;high 
2025-06-09 14:12:54.6816 INFO 7040504607-07;Tesla;TSLA;0.5; 
2025-06-09 14:12:54.6816 INFO 7040504607-07;Tesla;T3SL;0.5; 
2025-06-09 14:12:55.3806 INFO 5101476772-02;SAS Institute Inc;SASSI Institute;0.5; 
2025-06-09 14:12:56.8584 INFO 1050500813-03;Shepherdstown Day Care;Shepherdstown Day Care Ctr;0.5; 
2025-06-09 14:12:57.5263 INFO 1047504481-02;GlaxoSmithKline LLC;GlaxoSmithKline;0.9;high 
2025-06-09 14:12:58.9464 INFO 1024501805-02;Buraeu of Labor Statistics;Bureau of Labor Statistics;0.9;high 
2025-06-09 14:12:58.9464 INFO 1024501805-02;Buraeu of Labor Statistics;Bureau of Labor Statistics;0.5; 
2025-06-09 14:12:59.9643 INFO 1009480214-02;Anne Arundel Government;Anne Arundel County;0.9;high 
2025-06-09 14:13:02.0187 INFO 1083504801-01;Federal Bureau of Prisons;Federal Bureau of Prisons;0.9;high 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;Environmental Protection Agency;0.3;low 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;Epam Systems;0.0;unsupported 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;EPA USA;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;EYP;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;Ohio EPA;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;epay, a Euronet Worldwide;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;People Assisting The Homeless (PATH);0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;EP+Co;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;ePac Boulder;0.5; 
2025-06-09 14:13:03.3523 INFO 1081505101-01;EPA;EPAY Systems;0.9;high 
2025-06-09 14:13:03.9281 INFO 7040502464-02;MBTA;Meta;0.0;unsupported 
2025-06-09 14:13:03.9281 INFO 7040502464-02;MBTA;MBDA;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;MBDA;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;Massachusetts Bay Transportation Authority;0.9;high 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;Mti;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;Mott;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;MODA;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;MOTU;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;Morongo Basin Transit Authority;0.5; 
2025-06-09 14:13:03.9313 INFO 7040502464-02;MBTA;MTI;0.5; 
2025-06-09 14:13:04.6651 INFO 7040502464-01;Molina Healthcare;Molina Healthcare;0.3;low 
2025-06-09 14:13:06.7038 INFO 1024504756-05;Garrison Forest School;Garrison Forest School;0.5; 
2025-06-09 14:13:07.3570 INFO 1008462191-05;U.S. Department of Housing & Urban Development;Department of Housing & Urban Development;0.9;high 
2025-06-09 14:13:07.3570 INFO 1008462191-05;U.S. Department of Housing & Urban Development;U.S. Department of Housing & Urban Development;0.5; 
2025-06-09 14:13:08.3491 INFO 1047504908-03;Emmes Company;Emmes;0.5; 
2025-06-09 14:13:08.3491 INFO 1047504908-03;Emmes Company;EIMS;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;EMMES Group of Companies;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;EMS;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;EMSS;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;Emmaus;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;Emmeskay;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;Emmaus;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;EEMS,LLC;0.5; 
2025-06-09 14:13:08.3521 INFO 1047504908-03;Emmes Company;Emma’s;0.5; 
2025-06-09 14:13:08.6707 INFO 7040504607-06;Tesla;Tesla;0.9;high 
2025-06-09 14:13:08.6707 INFO 7040504607-06;Tesla;TSLA;0.5; 
2025-06-09 14:13:08.6707 INFO 7040504607-06;Tesla;T3SL;0.5; 
2025-06-09 14:13:08.9849 INFO 7040504607-05;Tesla;Tesla;0.9;high 
2025-06-09 14:13:08.9849 INFO 7040504607-05;Tesla;TSLA;0.5; 
2025-06-09 14:13:08.9849 INFO 7040504607-05;Tesla;T3SL;0.5; 
2025-06-09 14:13:09.6757 INFO 1014501340-01;DTRA;Defense Threat Reduction Agency;0.5; 
2025-06-09 14:13:09.6757 INFO 1014501340-01;DTRA;Datera;0.5; 
2025-06-09 14:13:09.6757 INFO 1014501340-01;DTRA;Dutro;0.5; 
2025-06-09 14:13:09.6757 INFO 1014501340-01;DTRA;DETRY;0.5; 
2025-06-09 14:13:09.6815 INFO 1014501340-01;DTRA;Tetra;0.5; 
